saleprice,address,sqft,date,bathrooms,bedrooms,studio,floor
2626127.571,205 east 59th street,1314,2006-04-25,2,2,0,15
2027381.405,205 east 59th street,1122,2005-08-24,1,1,0,16
1962037.802,205 east 59th street,1122,2008-02-29,1,1,0,16
1950782.598,205 east 59th street,,2006-08-24,2,1,0,16
2414192.927,205 east 59th street,1314,2005-08-24,2,2,0,16
2408160.756,205 east 59th street,1314,2014-12-09,2,2,0,16
2936757.608,205 east 59th street,1375,2007-02-06,2,2,0,17
2600612.518,205 east 59th street,1375,2013-09-18,2,2,0,17
2770672.037,205 east 59th street,,2006-06-06,,1,0,17
3188133.328,205 east 59th street,1552,2006-10-04,3,3,0,17
2620212.729,205 east 59th street,1552,2013-04-04,3,3,0,17
1917313.47,205 east 59th street,1113,2005-09-26,2,2,0,18
1897573.896,205 east 59th street,1113,2006-08-09,2,2,0,18
2086149.575,205 east 59th street,1113,2009-04-15,2,2,0,18
1568779.331,205 east 59th street,1113,2018-01-19,2,2,0,18
2343133.385,205 east 59th street,1314,2006-01-03,2,2,0,18
1968065.699,205 east 59th street,1314,2009-12-18,2,2,0,18
2150456.729,205 east 59th street,1314,2017-07-27,2,2,0,18
3001744.024,205 east 59th street,1375,2006-01-06,2,2,0,19
2532921.229,205 east 59th street,1375,2013-06-14,2,2,0,19
2983408.261,205 east 59th street,1386,2005-08-23,2,2,0,19
2082380.87,205 east 59th street,1122,2005-09-07,1,1,0,20
2147716.155,205 east 59th street,1113,2005-11-21,2,2,0,20
1871266.147,205 east 59th street,1113,2012-06-28,2,2,0,20
1752851.776,205 east 59th street,1113,2017-05-25,2,2,0,20
2345158.201,205 east 59th street,1314,2006-06-14,2,2,0,20
2267795.29,205 east 59th street,1314,2011-04-08,2,2,0,20
2363709.335,205 east 59th street,1314,2017-04-07,2,2,0,20
3030242.067,205 east 59th street,1375,2006-01-27,2,2,0,21
3021355.787,205 east 59th street,,2005-09-22,,1,0,21
2243849.669,205 east 59th street,1133,2006-02-21,2,1,0,22
1786427.497,205 east 59th street,1133,2011-05-05,2,1,0,22
1896777.939,205 east 59th street,1133,2013-07-16,2,1,0,22
2314001.279,205 east 59th street,1325,2006-07-11,2,2,0,22
3138258.527,205 east 59th street,,2005-08-31,,1,0,23
3143407.435,205 east 59th street,1368,2005-08-26,2,2,0,23
3337554.063,205 east 59th street,1368,2015-06-16,2,2,0,23
3799756.7,205 east 59th street,,2005-11-16,,1,0,23
1636504.667,205 east 59th street,1122,2011-12-28,1,1,0,24
2425557.729,205 east 59th street,1380,2006-06-20,2,2,0,24
2225722.751,205 east 59th street,1380,2012-02-14,2,2,0,24
3236578.248,205 east 59th street,,2005-09-13,,1,0,25
3142616.536,205 east 59th street,,2005-09-28,,1,0,25
3832088.075,205 east 59th street,,2005-09-14,3,3,0,25
3127680.513,205 east 59th street,,2015-10-19,3,3,0,25
2601044.68,205 east 59th street,1314,2006-08-22,2,2,0,25
2144710.175,205 east 59th street,1314,2011-07-06,2,2,0,25
1300485.929,205 east 59th street,,2006-04-06,,1,0,6
1814063.921,205 east 59th street,1116,2005-08-25,1,1,0,8
1550096.165,205 east 59th street,1116,2013-05-09,1,1,0,8
1750628.571,205 east 59th street,1133,2005-08-22,2,2,0,8
1839313.68,205 east 59th street,1133,2008-07-31,2,2,0,8
1991289.926,205 east 59th street,1133,2015-10-13,2,2,0,8
1654837.288,205 east 59th street,1133,2018-10-02,2,2,0,8
2188285.714,205 east 59th street,1314,2005-08-25,2,2,0,8
2711563.913,205 east 59th street,1340,2005-11-07,2,2,0,9
3076955.379,205 east 59th street,1552,2014-07-08,3,3,0,9
774666.9245,115 east 60th street,6100,2012-03-28,,,0,5
405229.5916,118 east 60th street,600,2009-11-25,1,,1,10
598850.0302,118 east 60th street,600,2015-08-20,1,,1,10
589676.327,118 east 60th street,840,2012-12-07,1,1,0,10
2277944.149,118 east 60th street,1790,2016-09-09,3,3,0,10
857379.4377,118 east 60th street,950,2007-03-20,1,1,0,10
547297.7421,118 east 60th street,,2006-01-03,,1,0,10
1129791.175,118 east 60th street,1350,2004-09-08,2,2,0,10
1157869.674,118 east 60th street,1350,2011-06-03,2,2,0,10
1294814.164,118 east 60th street,1350,2018-12-26,2,2,0,10
833345.5302,118 east 60th street,940,2015-06-18,1,1,0,11
417465.7751,118 east 60th street,,2006-10-06,,1,0,11
1245073.876,118 east 60th street,1450,2008-07-30,2,2,0,11
1401674.491,118 east 60th street,1450,2013-08-07,2,2,0,11
1600000,118 east 60th street,1450,2017-12-05,2,2,0,11
420503.7883,118 east 60th street,620,2012-08-15,1,,1,12
705916.4513,118 east 60th street,850,2014-01-15,1,1,0,12
915452.567,118 east 60th street,950,2007-10-09,1,1,0,12
888126.8034,118 east 60th street,950,2015-12-07,1,1,0,12
485051.5178,118 east 60th street,500,2005-06-23,1,,1,12
969878.7167,118 east 60th street,,2004-12-21,,1,0,12
459507.0684,118 east 60th street,,2016-12-14,,1,0,14
578884.8384,118 east 60th street,,2012-11-09,1,1,0,14
707525.9136,118 east 60th street,940,2012-11-12,1,1,0,14
1338159.086,118 east 60th street,1400,2015-07-21,2,2,0,14
557437.0732,118 east 60th street,,2012-08-22,1,1,0,15
806888.5829,118 east 60th street,950,2006-03-23,1,1,0,15
931307.0949,118 east 60th street,950,2018-01-23,1,1,0,15
435919.935,118 east 60th street,,2016-10-07,1,,1,15
748982.7142,118 east 60th street,,2006-10-10,,1,0,15
1170850.58,118 east 60th street,1400,2013-07-24,2,2,0,15
642608.1507,118 east 60th street,,2004-03-01,1,1,0,16
436402.963,118 east 60th street,500,2009-09-16,1,,1,16
420256.2619,118 east 60th street,500,2018-08-08,1,,1,16
614577.1138,118 east 60th street,830,2005-01-13,1,1,0,16
703033.3045,118 east 60th street,830,2015-11-11,1,1,0,16
448547.024,118 east 60th street,630,2011-09-26,1,1,0,16
1143103.289,118 east 60th street,1300,2007-12-20,2,2,0,16
1452221.06,118 east 60th street,1300,2013-12-02,2,2,0,16
1325629.142,118 east 60th street,1400,2014-07-24,2,2,0,16
877801.1301,118 east 60th street,950,2005-10-26,1,1,0,17
955869.1977,118 east 60th street,950,2015-03-31,1,1,0,17
776172.0688,118 east 60th street,840,2007-07-03,1,1,0,17
661845.8992,118 east 60th street,840,2013-11-25,1,1,0,17
771771.4246,118 east 60th street,840,2017-11-29,1,1,0,17
1166810.921,118 east 60th street,1350,2008-12-08,2,2,0,17
1360265.155,118 east 60th street,1350,2014-05-30,2,2,0,17
1481959.23,118 east 60th street,1400,2008-06-12,2,2,0,17
507497.1219,118 east 60th street,620,2007-07-23,1,1,0,18
525891.3141,118 east 60th street,620,2015-07-30,1,1,0,18
517889.6907,118 east 60th street,500,2007-01-04,1,,1,18
506303.011,118 east 60th street,,2007-07-16,1,1,0,18
1374512.691,118 east 60th street,,2006-07-13,,1,0,18
714275.884,118 east 60th street,810,2015-03-30,1,1,0,19
932287.9606,118 east 60th street,,2005-12-19,,1,0,19
451622.2513,118 east 60th street,500,2008-07-24,1,,1,19
1015805.275,118 east 60th street,1350,2010-06-15,2,2,0,19
1170539.931,118 east 60th street,1350,2013-04-24,2,2,0,19
1448007.989,118 east 60th street,1350,2017-05-09,2,2,0,19
1095803.785,118 east 60th street,,2004-06-28,,1,0,19
797241.2684,118 east 60th street,850,2007-12-18,1,1,0,20
860463.157,118 east 60th street,850,2015-06-02,1,1,0,20
899447.9753,118 east 60th street,850,2017-08-16,1,1,0,20
467558.8018,118 east 60th street,630,2011-05-17,1,1,0,20
578805.1167,118 east 60th street,,2006-05-23,,1,0,21
720583.9845,118 east 60th street,940,2011-02-17,1,1,0,21
776443.2081,118 east 60th street,940,2011-02-17,1,1,0,21
664364.4096,118 east 60th street,850,2005-03-24,1,1,0,22
711523.3119,118 east 60th street,850,2014-05-21,1,1,0,22
498417.5102,118 east 60th street,640,2015-03-25,1,,1,22
1293055.796,118 east 60th street,1300,2004-09-13,2,2,0,22
1118788.304,118 east 60th street,1300,2010-12-01,2,2,0,22
1248747.824,118 east 60th street,,2014-06-03,2,2,0,22
893885.7523,118 east 60th street,850,2006-02-21,1,1,0,23
704379.4181,118 east 60th street,850,2013-03-27,1,1,0,23
911411.6027,118 east 60th street,850,2018-07-17,1,1,0,23
969463.7295,118 east 60th street,1290,2010-03-29,2,2,0,23
989713.2691,118 east 60th street,,2012-04-18,2,2,0,23
472007.6421,118 east 60th street,,2004-11-18,1,1,0,24
575497.7021,118 east 60th street,,2019-03-04,1,1,0,24
2324263.503,118 east 60th street,2400,2018-05-16,4,3,0,24
1083877.329,118 east 60th street,1300,2010-02-09,2,2,0,24
2438760.294,118 east 60th street,2250,2017-02-16,3,3,0,25
507437.0403,118 east 60th street,900,2011-11-21,1,1,0,25
667559.5535,118 east 60th street,900,2016-03-17,1,1,0,25
496059.6933,118 east 60th street,,2005-02-24,,1,0,26
543409.5027,118 east 60th street,,2007-03-15,,1,0,26
2250300.544,118 east 60th street,2200,2013-06-17,3,3,0,26
1779225.204,118 east 60th street,1500,2007-07-24,2,2,0,26
1383249.386,118 east 60th street,1500,2016-07-22,2,2,0,27
931078.2046,118 east 60th street,830,2008-10-07,1,1,0,27
625791.3869,118 east 60th street,,2015-06-16,1,1,0,27
958084.7217,118 east 60th street,,2009-12-22,2,2,0,27
601324.8044,118 east 60th street,,2004-11-10,,1,0,28
651495.3585,118 east 60th street,730,2017-11-13,1,1,0,28
531584.3351,118 east 60th street,640,2016-06-17,1,1,0,29
459507.0684,118 east 60th street,640,2016-12-14,1,1,0,29
779360.4475,118 east 60th street,850,2019-03-13,1,1,0,29
782547.3168,118 east 60th street,,2019-02-28,1,1,0,29
1455286.612,118 east 60th street,1450,2017-08-15,2,2,0,29
760195.3742,118 east 60th street,,2005-02-11,,1,0,30
735476.4685,118 east 60th street,,2006-10-24,,1,0,30
800300.2324,118 east 60th street,,2005-05-24,,1,0,30
1035608.067,118 east 60th street,1400,2011-11-15,2,2,0,30
609281.989,118 east 60th street,,2007-01-19,,1,0,31
774609.8018,118 east 60th street,850,2004-11-16,1,1,0,31
861879.3977,118 east 60th street,850,2019-02-26,1,1,0,31
1545317.363,118 east 60th street,1500,2007-09-10,2,2,0,31
1334438.31,118 east 60th street,1500,2010-03-23,2,2,0,31
828465.3624,118 east 60th street,830,2009-08-27,1,1,0,33
564306.1408,118 east 60th street,640,2004-06-15,1,1,0,33
550918.8827,118 east 60th street,640,2016-03-02,1,1,0,33
898671.6513,118 east 60th street,1290,2009-11-19,2,2,0,33
567379.0493,118 east 60th street,625,2005-09-19,1,1,0,33
506584.2457,118 east 60th street,625,2013-06-03,1,1,0,33
635178.2577,118 east 60th street,625,2015-06-24,1,1,0,33
752509.3937,118 east 60th street,836,2017-01-23,1,1,0,33
2244818.052,118 east 60th street,,2014-10-15,2,2,0,33
1770651.165,118 east 60th street,,2018-09-21,2,2,0,33
490931.1096,118 east 60th street,620,2013-03-20,1,1,0,33
1055033.771,118 east 60th street,1500,2009-12-08,2,2,0,33
1420583.879,118 east 60th street,1500,2012-12-13,2,2,0,33
621032.9804,118 east 60th street,,2005-05-23,1,1,0,3
528325.2725,118 east 60th street,,2012-08-24,1,1,0,3
687590.6885,118 east 60th street,830,2006-10-05,1,1,0,3
653973.6322,118 east 60th street,830,2014-05-28,1,1,0,3
436436.9439,118 east 60th street,640,2007-04-10,1,,1,4
540239.9973,118 east 60th street,640,2017-11-28,1,,1,4
657118.0353,118 east 60th street,950,2005-02-08,1,1,0,4
851718.3258,118 east 60th street,950,2008-09-10,1,1,0,4
955062.3107,118 east 60th street,950,2017-10-03,1,1,0,4
1449325.995,118 east 60th street,,2016-05-19,2,2,0,4
1376532.559,118 east 60th street,1450,2005-11-02,2,2,0,4
1465173.179,118 east 60th street,1450,2014-03-12,2,2,0,4
425834.1702,118 east 60th street,,2004-08-16,,1,0,5
499240.706,118 east 60th street,650,2008-10-08,1,1,0,5
518361.0739,118 east 60th street,,2008-05-22,1,1,0,6
514055.4028,118 east 60th street,,2015-09-21,1,1,0,6
568702.772,118 east 60th street,,2018-05-15,1,1,0,6
698909.2695,118 east 60th street,950,2013-11-15,1,1,0,6
1134643.236,118 east 60th street,1500,2011-12-16,2,2,0,6
535104.3438,118 east 60th street,830,2012-10-11,1,1,0,7
798924.0132,118 east 60th street,950,2016-11-08,1,1,0,7
1471836.163,118 east 60th street,1400,2006-08-08,2,2,0,7
1453335.8,118 east 60th street,1400,2017-11-27,2,2,0,7
519697.6784,118 east 60th street,620,2015-08-25,1,1,0,8
1653436.711,118 east 60th street,1600,2018-06-11,2,3,0,8
610238.036,118 east 60th street,950,2004-06-09,1,1,0,8
887577.4412,118 east 60th street,950,2006-03-27,1,1,0,8
695635.647,118 east 60th street,950,2012-10-17,1,1,0,8
889193.9622,118 east 60th street,950,2015-05-12,1,1,0,8
499341.6369,118 east 60th street,500,2005-08-31,1,1,0,8
569879.3355,118 east 60th street,620,2008-11-13,1,,1,9
633002.7881,118 east 60th street,850,2010-03-18,1,1,0,9
724343.7807,118 east 60th street,850,2010-10-15,1,1,0,9
619678.9788,118 east 60th street,830,2014-03-27,1,1,0,9
483465.8612,118 east 60th street,,2007-08-09,,1,0,9
492342.2974,118 east 60th street,,2004-01-26,1,1,0,0
411593.9303,118 east 60th street,,2003-07-08,1,1,0,0
523358.5734,121 east 60th street,,2008-11-11,,,0,2
785164.6595,165 east 60th street,,2006-03-30,1,2,0,1
1283669.191,165 east 60th street,1300,2007-07-24,2,2,0,2
911197.8215,165 east 60th street,925,2015-07-13,1,1,0,2
530737.2487,165 east 60th street,1000,2013-09-27,1,1,0,2
533246.5745,165 east 60th street,830,2013-06-13,1,1,0,3
786843.1266,165 east 60th street,830,2015-01-12,1,1,0,3
1028553.303,165 east 60th street,,2004-08-10,2,2,0,4
1319921.888,165 east 60th street,,2016-05-24,2,2,0,4
1209273.171,165 east 60th street,1850,2003-08-12,3,3,0,4
2562970.832,165 east 60th street,1850,2015-05-28,3,3,0,4
1306998.954,165 east 60th street,1200,2013-12-04,2,2,0,6
868274.112,165 east 60th street,,2009-02-10,1,2,0,6
486556.3824,220 east 60th street,450,2014-05-28,1,1,0,10
592749.4687,220 east 60th street,686,2004-05-10,1,1,0,10
864427.0002,220 east 60th street,633,2015-08-04,1,1,0,10
863673.7041,220 east 60th street,673,2014-06-16,1,1,0,10
593580.2951,220 east 60th street,451,2015-07-06,1,,1,11
703502.8378,220 east 60th street,603,2003-11-25,1,1,0,11
897366.5347,220 east 60th street,603,2011-07-08,1,1,0,11
464621.4741,220 east 60th street,475,2011-04-12,1,,1,11
550869.2512,220 east 60th street,465,2018-09-06,1,,1,11
775626.2581,220 east 60th street,705,2012-06-11,1,1,0,11
509999.9291,220 east 60th street,500,2007-12-20,1,1,0,11
552918.4789,220 east 60th street,500,2008-05-29,1,1,0,11
729004.1926,220 east 60th street,,2016-03-28,,,0,12
427209.2783,220 east 60th street,463,2010-07-12,1,,1,12
671862.8371,220 east 60th street,629,2004-07-20,,1,0,12
680208.2733,220 east 60th street,697,2004-11-10,1,1,0,13
891161.6004,220 east 60th street,697,2013-10-17,1,1,0,13
741569.5614,220 east 60th street,643,2010-05-17,1,1,0,13
760885.786,220 east 60th street,643,2011-05-26,1,1,0,13
685838.8686,220 east 60th street,900,2014-09-04,1,1,0,2
656503.5698,220 east 60th street,750,2015-03-24,1,1,0,2
798481.9962,220 east 60th street,686,2015-09-18,1,1,0,2
653374.2717,220 east 60th street,633,2013-11-14,1,1,0,2
505236.3896,220 east 60th street,500,2006-03-28,1,,1,2
459571.7078,220 east 60th street,500,2012-05-15,1,,1,2
718499.4285,220 east 60th street,750,2017-02-20,1,1,0,3
674728.3408,220 east 60th street,750,2018-03-28,1,1,0,3
712015.4638,220 east 60th street,683,2010-07-15,1,1,0,3
549105.4025,220 east 60th street,686,2003-09-19,,1,0,3
536168.1503,220 east 60th street,443,2007-01-19,1,1,0,3
542995.7004,220 east 60th street,679,2003-10-15,1,1,0,4
865463.5787,220 east 60th street,679,2007-08-22,1,1,0,4
497543.4019,220 east 60th street,550,2006-01-09,1,1,0,4
520997.9121,220 east 60th street,463,2008-09-03,1,1,0,4
769889.5085,220 east 60th street,700,2009-12-08,1,1,0,4
668224.9084,220 east 60th street,465,2014-10-14,1,1,0,4
505913.2876,220 east 60th street,450,2008-11-05,1,1,0,5
553368.6825,220 east 60th street,450,2016-09-16,1,1,0,5
777757.2854,220 east 60th street,679,2014-08-11,1,1,0,5
593018.163,220 east 60th street,683,2012-08-23,1,1,0,5
573282.7236,220 east 60th street,463,2016-01-13,1,,1,5
462859.9208,220 east 60th street,463,2010-11-02,1,,1,5
589676.327,220 east 60th street,685,2012-12-21,1,1,0,5
887266.2813,220 east 60th street,673,2007-05-03,1,1,0,5
881599.2429,220 east 60th street,750,2018-10-19,1,1,0,6
766114.1852,220 east 60th street,683,2016-01-11,1,1,0,6
524725.9164,220 east 60th street,650,2005-06-22,1,,1,6
482462.4493,220 east 60th street,650,2012-12-20,1,,1,6
657726.8688,220 east 60th street,633,2013-04-18,1,1,0,6
845044.8441,220 east 60th street,633,2013-11-08,1,1,0,6
877045.1923,220 east 60th street,880,2014-10-01,1,1,0,6
459075.9259,220 east 60th street,445,2004-12-01,1,,1,6
529801.5221,220 east 60th street,445,2019-01-09,1,,1,6
1386905.595,220 east 60th street,683,2003-11-10,,1,0,7
1500578.588,220 east 60th street,2383,2012-03-02,,1,0,7
1386905.595,220 east 60th street,1700,2003-11-10,2,3,0,7
534375.2973,220 east 60th street,463,2006-06-30,1,,1,7
485196.6788,220 east 60th street,463,2012-08-28,1,,1,7
622702.1417,220 east 60th street,750,2004-07-14,1,1,0,7
829745.8052,220 east 60th street,750,2008-09-24,1,1,0,7
500946.8596,220 east 60th street,686,2003-06-30,1,1,0,8
608432.8828,220 east 60th street,648,2011-04-28,1,1,0,8
520363.1402,220 east 60th street,550,2007-06-27,1,1,0,8
573282.7236,220 east 60th street,,2016-01-28,,,0,8
780477.8416,220 east 60th street,685,2013-08-15,1,1,0,8
838538.6112,220 east 60th street,750,2016-05-18,1,1,0,8
567538.4683,220 east 60th street,444,2018-07-11,1,,1,9
504924.855,220 east 60th street,686,2006-10-27,1,1,0,9
574389.4952,220 east 60th street,490,2005-12-13,1,,1,9
646651.0998,220 east 60th street,490,2015-06-12,1,,1,9
822642.7354,220 east 60th street,673,2013-09-11,1,1,0,9
492639.3768,244 east 60th street,700,2006-08-30,1,1,0,2
553597.5882,244 east 60th street,700,2009-02-20,1,1,0,2
457267.5551,244 east 60th street,700,2017-02-16,1,1,0,2
453559.0581,244 east 60th street,700,2011-04-21,1,1,0,3
475980.2974,244 east 60th street,700,2015-05-18,1,1,0,3
431730.6663,244 east 60th street,560,2005-12-22,1,1,0,4
437077.3197,244 east 60th street,560,2016-09-09,1,1,0,4
421011.96,244 east 60th street,,2005-07-21,,1,0,5
597277.6205,303 east 60th street,500,2006-05-10,1,1,0,11
910711.3992,303 east 60th street,1109,2003-09-10,,2,0,15
505931.6311,303 east 60th street,520,2011-07-14,1,,1,16
1091705.693,303 east 60th street,1109,2011-06-15,2,2,0,17
497926.4863,303 east 60th street,617,2004-02-26,1,1,0,18
632163.9863,303 east 60th street,617,2014-01-06,1,1,0,18
618754.5089,303 east 60th street,750,2004-01-07,1,1,0,22
689230.793,303 east 60th street,750,2011-09-26,1,1,0,22
866615.2721,303 east 60th street,600,2010-04-29,1,1,0,36
1926667.495,303 east 60th street,1300,2008-01-25,2,2,0,38
1086510.404,303 east 60th street,1109,2006-01-23,2,2,0,7
1424476.182,303 east 60th street,1109,2014-01-22,2,2,0,7
412503.0059,303 east 60th street,500,2004-01-07,1,1,0,7
496229.8604,303 east 60th street,500,2011-05-16,1,1,0,7
1399702.748,303 east 60th street,1109,2017-08-17,2,2,0,8
698127.152,303 east 60th street,798,2004-05-19,1,1,0,9
888230.6697,303 east 60th street,798,2014-06-04,1,1,0,9
1132810.096,401 east 60th street,1121,2004-05-26,2,2,0,10
1069437.203,401 east 60th street,1121,2011-11-28,2,2,0,10
1377531.466,401 east 60th street,1253,2011-10-25,2,2,0,10
2408931.979,401 east 60th street,1548,2005-11-16,2,2,0,10
2073444.296,401 east 60th street,1548,2008-05-29,2,2,0,10
1432933.05,401 east 60th street,1123,2007-07-17,2,1,0,11
1186036.326,401 east 60th street,1123,2012-08-21,2,1,0,11
1599739.723,401 east 60th street,1253,2013-06-24,2,2,0,11
1015432.824,401 east 60th street,1108,2003-06-27,1,1,0,11
1254376.474,401 east 60th street,1108,2004-12-09,1,1,0,11
1179856.69,401 east 60th street,1121,2004-07-30,2,2,0,12
1366869.677,401 east 60th street,1121,2007-05-03,2,2,0,12
1075164.698,401 east 60th street,1121,2011-05-13,2,2,0,12
1442047.065,401 east 60th street,1253,2004-07-30,,2,0,12
1571172.998,401 east 60th street,1253,2007-04-17,,2,0,12
2638985.034,401 east 60th street,1108,2007-07-19,,2,0,12
2238767.128,401 east 60th street,1619,2006-04-18,2,2,0,14
2074762.142,401 east 60th street,1619,2017-11-20,2,2,0,14
1315903.82,401 east 60th street,1300,2004-05-11,2,2,0,14
1286093.065,401 east 60th street,1108,2004-06-09,1,1,0,14
1390475.923,401 east 60th street,1108,2008-04-28,1,1,0,14
1389062.474,401 east 60th street,1108,2014-04-29,1,1,0,14
1792535.351,401 east 60th street,1562,2004-02-06,2,2,0,14
2144922.723,401 east 60th street,1562,2008-07-15,2,2,0,14
2111190.371,401 east 60th street,1600,2017-10-20,2,2,0,15
1231310.417,401 east 60th street,1100,2013-09-06,1,1,0,15
2137441.197,401 east 60th street,1562,2008-06-03,2,2,0,15
2616596.283,401 east 60th street,1619,2006-06-16,2,2,0,16
2010932.05,401 east 60th street,1569,2011-02-17,2,2,0,16
2465104.284,401 east 60th street,1562,2005-08-30,2,2,0,16
1968413.405,401 east 60th street,1612,2018-08-06,2,2,0,16
2001852.623,401 east 60th street,1600,2014-01-09,2,2,0,17
2456842.996,401 east 60th street,1562,2006-05-01,,2,0,17
1036874.057,401 east 60th street,,2003-05-12,,2,0,18
1984919.442,401 east 60th street,1569,2011-06-08,2,2,0,19
2264977.442,401 east 60th street,1569,2015-07-14,2,2,0,19
1901655.055,401 east 60th street,1253,2005-09-28,2,2,0,19
1442152.257,401 east 60th street,1108,2006-02-01,1,1,0,19
1212224.183,401 east 60th street,1108,2009-07-21,1,1,0,19
2322545.652,401 east 60th street,1570,2007-07-18,2,2,0,19
1662991.565,401 east 60th street,1253,2004-05-28,2,2,0,20
1568704.841,401 east 60th street,1253,2010-05-28,2,2,0,20
1403091.21,401 east 60th street,1108,2004-12-02,1,1,0,20
1463783.989,401 east 60th street,1108,2014-12-09,1,1,0,20
2284807.459,401 east 60th street,1562,2007-01-25,2,2,0,20
1987829.128,401 east 60th street,1562,2011-09-16,2,2,0,20
1135736.538,401 east 60th street,1108,2012-04-20,1,1,0,21
