address,yearbuilt,numunits,stories,longitude,latitude,grandcentralwalkingdist,centralparkwalkingdist,closest_pre,closest_post,zipcode,group
1136 fifth avenue,1925,43,14,-73.956169,40.78706,2.6893013,0.082021199,0.34610462,0.34610462,10128,Madison Ave
114 east 70th street,1920,1,5,-73.964088,40.76936,1.3471361,0.28955969,0.1572073,0.1572073,10021,Lexington Ave
114 east 72nd street,1963,39,20,-73.96315,40.77063,1.4484198,0.39022207,0.26346204,0.26346204,10021,Lexington Ave
114 east 84th street,1915,34,9,-73.957321,40.7784,2.0728993,0.31814283,0.13608062,0.13608062,10028,Lexington Ave
114 east 90th street,1925,38,9,-73.954369,40.782219,2.3854499,0.26470479,0.21934457,0.21934457,10128,Lexington Ave
114 east 91st street,1910,10,5,-73.954132,40.78294,2.419004,0.29888028,0.28334597,0.28334597,10128,Lexington Ave
1140 fifth avenue,1922,44,14,-73.95594,40.787201,2.717263,0.054059427,0.31938559,0.31938559,10128,Madison Ave
1148 fifth avenue,1923,59,13,-73.955498,40.787628,2.7439821,0.026719028,0.29204518,0.29204518,10128,Madison Ave
115 east 60th street,1900,2,5,-73.968582,40.76334,0.84693104,0.28521007,0.045981582,0.045981582,,Lexington Ave
115 east 61st street,1930,,14,-73.968102,40.763939,0.90036911,0.24233536,0.1093616,0.1093616,,Lexington Ave
115 east 86th street,1928,56,16,-73.956238,40.779942,2.1748047,0.28769559,0.041631974,0.041631974,10028,Lexington Ave
115 east 87th street,1972,198,38,-73.955849,40.78067,2.227,0.341755,0.079535708,0.079535708,10128,Lexington Ave
115 east 90th street,1923,44,9,-73.954391,40.78244,2.3755081,0.25538421,0.22866517,0.22866517,10128,Lexington Ave
1150 fifth avenue,1924,74,15,-73.95533,40.787891,2.773808,0.026097655,0.29204518,0.29204518,10029,Madison Ave
1150 park avenue,1940,89,19,-73.954811,40.78389,2.428946,0.278375,0.30757952,0.30757952,10128,Madison Ave
1155 park avenue,1915,60,14,-73.954338,40.78368,2.4115477,0.29080245,0.29453069,0.29453069,10128,Lexington Ave
1158 fifth avenue,1924,58,15,-73.954987,40.788349,2.8017697,0.0341755,0.32000697,0.32000697,10029,Madison Ave
116 east 63rd street,1920,34,9,-73.967194,40.76498,1.0047597,0.346726,0.037903737,0.037903737,10065,Lexington Ave
116 east 66th street,1954,58,13,-73.965813,40.76683,1.1576174,0.29080245,0.14788671,0.14788671,10065,Lexington Ave
116 east 68th street,1931,88,11,-73.964943,40.76812,1.252066,0.30198714,0.035418246,0.035418246,10065,Lexington Ave
116 east 92nd street,1920,13,5,-73.953743,40.7836,2.4643643,0.34424049,0.24109262,0.24109262,,Lexington Ave
1160 park avenue,1926,64,14,-73.954803,40.784248,2.4550438,0.30447266,0.28148186,0.28148186,10128,Madison Ave
1160 third avenue,1965,163,19,-73.962799,40.767006,1.3216598,0.44552425,0.10004101,0.10004101,10065,Lexington Ave
1165 fifth avenue,1926,54,15,-73.954712,40.78907,2.8471298,0.056544919,0.3647458,0.3647458,10029,Madison Ave
1165 park avenue,1925,55,14,-73.954048,40.784081,2.4388881,0.31814283,0.26719028,0.26719028,10128,Lexington Ave
117 east 72nd street,1928,18,15,-73.962852,40.77087,1.4583619,0.40016404,0.25352007,0.25352007,10021,Lexington Ave
1170 fifth avenue,1926,60,16,-73.95443,40.789162,2.8713634,0.044117466,0.38960069,0.38960069,10029,Madison Ave
1172 park avenue,1926,46,14,-73.954323,40.784538,2.485491,0.3349199,0.25103459,0.25103459,10128,Madison Ave
1175 park avenue,1925,52,14,-73.953857,40.78434,2.4649856,0.34486187,0.24109262,0.24109262,10128,Lexington Ave
1175 york avenue,1958,232,18,-73.957848,40.761551,1.5316838,0.93205911,0.54618663,0.53065234,10065,York Ave
118 east 60th street,1963,234,33,-73.968391,40.762859,0.85625166,0.29453069,0.033554129,0.033554129,10022,Lexington Ave
1185 park avenue,1929,172,15,-73.953499,40.784828,2.5022681,0.33926952,0.20381026,0.20381026,10128,Lexington Ave
119 e 81 street,1926,35,,-73.958473,40.776535,1.9361974,0.35480383,0.24979185,0.24979185,10028,Lexington Ave
119 east 101 street,1910,,,-73.949471,40.789448,2.9179664,0.29888028,0.16342103,0.16342103,10029,Lexington Ave
119 east 101st street,1910,,,-73.949471,40.789448,2.9179664,0.29888028,0.16342103,0.16342103,10029,Lexington Ave
119 east 84th street,1926,35,9,-73.957191,40.778561,2.0728993,0.31814283,0.13608062,0.13608062,10028,Lexington Ave
1192 park avenue,1926,75,15,-73.953873,40.78516,2.5345793,0.31192911,0.20194614,0.20194614,10128,Madison Ave
1199 park avenue,1961,148,18,-73.953102,40.785339,2.5407932,0.30074441,0.16528516,0.16528516,10128,Lexington Ave
12 east 64th street,1872,5,5,-73.970016,40.766972,1.0942374,0.2007034,0.27899635,0.27899635,10065,Madison Ave
12 east 75th street,1910,10,4,-73.964722,40.773911,1.6366957,0.12800278,0.31814283,0.31814283,10021,Madison Ave
12 east 87th street,1912,25,9,-73.958977,40.781712,2.2530975,0.15534319,0.26594752,0.26594752,10028,Madison Ave
12 east 88th street,1931,39,13,-73.958588,40.78236,2.3083997,0.16031417,0.32249245,0.32249245,10128,Madison Ave
12 east 97th street,1926,113,11,-73.954193,40.788021,2.7595162,0.077050216,0.27464676,0.27464676,10029,Madison Ave
120 east 75th street,1923,35,9,-73.961479,40.772572,1.6155691,0.32062835,0.14788671,0.14788671,10021,Lexington Ave
120 east 79th street,1947,78,20,-73.959709,40.775131,1.8075733,0.25352007,0.15969279,0.15969279,10075,Lexington Ave
120 east 80th street,1930,,,-73.959175,40.775932,1.8684678,0.29204518,0.21126673,0.21126673,10075,Lexington Ave
120 east 81st street,1958,101,16,-73.958382,40.776348,1.92377,0.36723128,0.23736438,0.23736438,10028,Lexington Ave
120 east 83rd street,1925,20,5,-73.957626,40.77771,2.0269179,0.38649383,0.16777064,0.16777064,10028,Lexington Ave
120 east 85th street,1920,12,6,-73.956703,40.778969,2.1294444,0.27526811,0.078914337,0.078914337,10028,Lexington Ave
120 east 86 street,1920,118,,-73.956161,40.779697,2.1903389,0.2982589,0.016155692,0.016155692,10028,Lexington Ave
120 east 86th   street,1920,118,,-73.956161,40.779697,2.1903389,0.2982589,0.016155692,0.016155692,10028,Lexington Ave
120 east 86th street,1920,118,,-73.956161,40.779697,2.1903389,0.2982589,0.016155692,0.016155692,10028,Lexington Ave
120 east 87th street,1981,219,17,-73.955627,40.780289,2.2245145,0.37095952,0.05033119,0.05033119,10028,Lexington Ave
120 east 90th street,1962,104,15,-73.954063,40.782082,2.3730226,0.28583145,0.1982179,0.1982179,10128,Lexington Ave
120 east end avenue,1931,34,17,-73.945618,40.774658,2.745846,0.96872008,0.67543215,0.43868914,10028,York Ave
121 east 60th street,1924,,11,-73.968338,40.763229,0.86370808,0.30198714,0.02982589,0.02982589,,Lexington Ave
121 east 88th street,1910,15,5,-73.955032,40.781071,2.2866516,0.37033814,0.11246847,0.11246847,10128,Lexington Ave
1210 third avenue,1959,47,20,-73.961617,40.768681,1.4459344,0.446767,0.19573241,0.19573241,10021,Lexington Ave
1217 madison avenue,1930,87,15,-73.957619,40.781811,2.2487478,0.21996595,0.26159793,0.26159793,10128,Madison Ave
122 east 82nd street,1912,36,9,-73.958023,40.777031,1.982179,0.40948462,0.22307281,0.22307281,10028,Lexington Ave
1220 park avenue,1930,56,17,-73.95314,40.786171,2.6041732,0.24233536,0.13421652,0.13421652,10128,Madison Ave
123 63rd street,1923,36,,-73.967064,40.765049,1.0084879,0.35045421,0.030447263,0.030447263,10065,Lexington Ave
123 east 75th street,1962,104,16,-73.961296,40.772736,1.6149478,0.33802676,0.13048828,0.13048828,10021,Lexington Ave
123 east 88th street,1910,15,5,-73.954948,40.78104,2.2872729,0.36971676,0.11246847,0.11246847,10128,Lexington Ave
1230 park avenue,1930,80,16,-73.95295,40.78643,2.6277852,0.21872321,0.10998297,0.10998297,10128,Madison Ave
1235 park avenue,1928,60,15,-73.952492,40.786209,2.6091442,0.2323934,0.096934147,0.096934147,10128,Lexington Ave
1236 park avenue,1930,80,,-73.952789,40.786476,2.6371059,0.20940261,0.10128376,0.10128376,10128,Madison Ave
124 east 79th street,1985,66,21,-73.959557,40.775082,1.8168939,0.26284066,0.15037221,0.15037221,10075,Lexington Ave
124 east 84th street,1924,34,9,-73.957062,40.77829,2.0809772,0.33243442,0.12178905,0.12178905,10028,Lexington Ave
124 east 85th street,1920,10,5,-73.956642,40.778938,2.1337941,0.28023911,0.073943354,0.073943354,10028,Lexington Ave
124 east 91st street,1910,24,6,-73.953781,40.782791,2.4376452,0.31876421,0.26284066,0.26284066,10128,Lexington Ave
125 east 63rd street,1923,36,9,-73.96682,40.76503,1.0221581,0.36288169,0.018019808,0.018019808,10065,Lexington Ave
125 east 64th street,1910,5,5,-73.966476,40.765732,1.061926,0.40389228,0.080778457,0.080778457,10065,Lexington Ave
125 east 72nd street,1917,62,14,-73.962311,40.770641,1.4533908,0.43123269,0.22245143,0.22245143,10021,Lexington Ave
125 east 74th street,1928,30,9,-73.961838,40.772099,1.5652379,0.36971676,0.19883928,0.19883928,10021,Lexington Ave
125 east 84th street,1928,44,9,-73.956909,40.778439,2.0772491,0.33616266,0.11806082,0.11806082,10028,Lexington Ave
125 east 93rd street,1924,29,9,-73.952858,40.78426,2.5395503,0.42253345,0.1708775,0.1708775,10128,Lexington Ave
1260 2 avenue,1956,,,-73.961052,40.764999,1.3757192,0.56669194,0.32249245,0.1640424,10065,Second Ave
1261 madison avenue,1901,16,7,-73.956673,40.783539,2.3786149,0.11992494,0.39208621,0.39208621,10128,Madison Ave
127 east 64th street,1910,4,5,-73.966423,40.765709,1.0650328,0.40699914,0.077671595,0.077671595,10065,Lexington Ave
1274 madison avenue,1948,43,,-73.956505,40.784073,2.4146545,0.15596455,0.42812583,0.42812583,10128,Madison Ave
128 east 62 street,1920,,,-73.967407,40.764324,0.9680987,0.310065,0.090099044,0.090099044,10065,Lexington Ave
128 east 62nd   street,1920,,,-73.967407,40.764324,0.9680987,0.310065,0.090099044,0.090099044,10065,Lexington Ave
128 east 62nd street,1920,,,-73.967407,40.764324,0.9680987,0.310065,0.090099044,0.090099044,10065,Lexington Ave
128 east 83rd street,1928,18,5,-73.957367,40.777599,2.0219469,0.39146483,0.16279966,0.16279966,10028,Lexington Ave
1281 madison avenue,1952,9,10,-73.956161,40.784229,2.4332957,0.17522711,0.41134876,0.41134876,,Madison Ave
129 east 69th street,1916,28,12,-73.963799,40.768681,1.3079896,0.278375,0.077050216,0.077050216,10021,Lexington Ave
129 east 82nd street,1916,32,11,-73.957619,40.777081,1.9685088,0.42315483,0.20940261,0.20940261,10028,Lexington Ave
130 east 63rd street,1960,73,15,-73.966682,40.76474,1.010352,0.37468776,0.009941964,0.009941964,10065,Lexington Ave
130 east 67th street,1908,56,11,-73.964211,40.766991,1.2060845,0.33181304,0.074564725,0.074564725,10065,Lexington Ave
130 east 75th street,1929,58,11,-73.96125,40.772469,1.6149478,0.33864814,0.1298669,0.1298669,10021,Lexington Ave
130 east 94th street,1923,45,9,-73.952431,40.784679,2.5867746,0.37530914,0.11806082,0.11806082,10128,Lexington Ave
130 east end avenue,1929,48,16,-73.945099,40.774799,2.7682157,0.99108952,0.65306276,0.41631973,10028,York Ave
131 east 66th street,1907,44,11,-73.964752,40.766602,1.156996,0.34859011,0.12365317,0.12365317,10065,Lexington Ave
131 east 81st street,1983,16,18,-73.958076,40.77644,1.918799,0.37282366,0.23177204,0.23177204,10028,Lexington Ave
131 east 93rd street,1923,36,9,-73.952621,40.784161,2.5289869,0.4330968,0.16031417,0.16031417,10128,Lexington Ave
1314-1396 third ave,1920,,,-73.9571,40.774601,1.9200418,0.42501897,0.20878124,0.20878124,10075,Lexington Ave
132 east 65th street,2013,22,16,-73.965088,40.765709,1.1141213,0.40575638,0.11495396,0.11495396,10065,Lexington Ave
132 east 72nd street,1925,16,15,-73.962669,40.770451,1.4645755,0.42004797,0.23363616,0.23363616,10021,Lexington Ave
1326 madison avenue,1900,40,7,-73.955383,40.785801,2.5445213,0.22928654,0.30012304,0.30012304,10128,Madison Ave
133 east 64th street,1927,23,12,-73.966087,40.765541,1.0550909,0.42936856,0.055302173,0.055302173,10065,Lexington Ave
133 east 80th street,1930,19,14,-73.958572,40.775822,1.865361,0.32435656,0.17895535,0.17895535,10028,Lexington Ave
1337 third avenue,1910,90,,-73.958473,40.772598,1.7640772,0.42626169,0.1093616,0.1093616,10021,Second Ave
134 east 93rd street,1989,30,15,-73.952606,40.783939,2.5178022,0.44428152,0.14850809,0.14850809,10128,Lexington Ave
1349 lexington avenue,1922,68,10,-73.95372,40.781811,2.3475461,0.31068638,0.173363,0.173363,10128,Lexington Ave
135 east 71st street,1959,101,22,-73.962883,40.769951,1.4074092,0.36847404,0.17646986,0.17646986,10021,Lexington Ave
135 east 74th street,1925,31,11,-73.961441,40.771931,1.562131,0.39208621,0.17646986,0.17646986,10021,Lexington Ave
135 east 79th street,2012,31,20,-73.959129,40.77536,1.8212435,0.28831694,0.13483788,0.13483788,10075,Lexington Ave
135 east 83rd street,1961,60,16,-73.956673,40.777519,2.0163546,0.42377621,0.15782867,0.15782867,10028,Lexington Ave
1355 first avenue,2014,31,31,-73.955856,40.768299,1.8398846,0.85003793,0.57849801,0.16963476,10021,Second Ave
1356 first avenue,1910,28,5,-73.955429,40.76828,1.850448,0.83947456,0.56793469,0.18019809,10021,York Ave
1356 madison avenue,1902,12,6,-73.954597,40.786861,2.6308923,0.14229436,0.21437359,0.21437359,10128,Madison Ave
136 east 64th street,1928,65,11,-73.966248,40.7654,1.0588192,0.42501897,0.059651781,0.059651781,10065,Lexington Ave
136 east 76th street,1961,99,16,-73.960609,40.773022,1.6609293,0.29328793,0.075186104,0.075186104,10021,Lexington Ave
136 east 79th street,1929,25,14,-73.959343,40.774979,1.8150297,0.28521007,0.12800278,0.12800278,10075,Lexington Ave
1361 madison avenue,1902,52,7,-73.954361,40.78672,2.6271639,0.14664397,0.21872321,0.21872321,10128,Madison Ave
137 east 66th street,1918,33,9,-73.964127,40.766361,1.1880647,0.37965873,0.15472181,0.15472181,10065,Lexington Ave
1376 york avenue,1910,,,-73.953018,40.767799,2.0238111,0.94448656,0.67108256,0.34486187,10021,York Ave
1388 lexington avenue,1920,8,4,-73.953194,40.783031,2.4320529,0.37095952,0.21499497,0.21499497,10128,Lexington Ave
139 east 63rd street,1962,53,16,-73.966003,40.764709,1.0060024,0.40637776,0.0205053,0.0205053,10065,Lexington Ave
139 east 66th street,1918,20,9,-73.96389,40.766258,1.1924143,0.38462973,0.15969279,0.15969279,10065,Lexington Ave
139 east 79th street,1928,15,15,-73.958977,40.775169,1.8212435,0.28893831,0.13421652,0.13421652,10075,Lexington Ave
139 east 94th street,1928,45,11,-73.952057,40.784752,2.5706191,0.39146483,0.10190513,0.10190513,10128,Lexington Ave
14 east 64th street,1872,6,5,-73.969963,40.766941,1.0942374,0.2007034,0.27899635,0.27899635,10065,Madison Ave
14 east 68th street,1920,6,6,-73.96801,40.769409,1.2806492,0.11743945,0.21996595,0.21996595,10065,Madison Ave
14 east 74th street,1930,6,5,-73.96521,40.773281,1.5882287,0.17584848,0.37033814,0.37033814,10021,Madison Ave
14 east 75th street,1929,61,12,-73.964432,40.773811,1.6199187,0.14477985,0.30136576,0.30136576,10021,Madison Ave
14 east 77th street,1910,12,5,-73.963799,40.775169,1.7367368,0.10501199,0.21810183,0.21810183,,Madison Ave
14 east 90th street,1929,50,12,-73.957253,40.78344,2.3910422,0.077671595,0.40451366,0.40451366,10128,Madison Ave
14 east 92nd street,1920,10,4,-73.956902,40.784908,2.5103459,0.15907142,0.42936856,0.42936856,10128,Madison Ave
14 east 96th street,1985,17,18,-73.95488,40.787361,2.7017286,0.072079234,0.21685909,0.21685909,10128,Madison Ave
140 east 63rd street,1927,86,23,-73.96611,40.764519,1.0078666,0.40762052,0.021748045,0.021748045,10065,Lexington Ave
140 east 72nd street,1959,101,22,-73.962463,40.770359,1.4577404,0.42626169,0.22680105,0.22680105,10021,Lexington Ave
140 east 81st street,1928,83,12,-73.957703,40.77607,1.9200418,0.40513504,0.23363616,0.23363616,10028,Lexington Ave
140 east 83rd street,1961,64,16,-73.956886,40.77739,2.0231895,0.42998993,0.16466378,0.16466378,10028,Lexington Ave
140 east 95th street,1928,24,6,-73.951752,40.785221,2.6228144,0.33802676,0.055302173,0.055302173,10128,Lexington Ave
